ID,LON,LAT
1,-98.2972,19.3964
2,-98.2989,19.3969
3,-98.2994,19.3972
4,-98.2972,19.395
5,-98.2975,19.395
6,-98.2786,19.3658
7,-98.2786,19.3661
8,-98.2786,19.3664
9,-98.2786,19.3656
10,-98.2786,19.3656
11,-98.2078,19.2939
12,-98.2078,19.2939
13,-98.2078,19.2939
14,-98.2078,19.2939
15,-98.2078,19.2939
16,-98.2078,19.2939
17,-98.2078,19.2939
18,-98.2442,19.3019
19,-98.2075,19.4297
20,-98.2158,19.3306
21,-98.2161,19.3303
22,-98.2375,19.0842
23,-98.1133,19.0306
24,-98.1133,19.0278
25,-98.2342,19.0944
26,-98.2342,19.0944
27,-98.215,19.3314
28,-98.2411,19.2958
29,-98.2369,19.29
30,-98.1872,19.3308
31,-98.1867,19.33
32,-98.1864,19.3294
33,-98.2467,19.3225
34,-98.2447,19.3219
35,-98.2631,19.3975
36,-98.255,19.3897
37,-99.1206,19.3597
38,-99.1714,19.3539
39,-99.1714,19.3539
40,-99.1714,19.3539
41,-99.1717,19.3553
42,-99.1717,19.3553
43,-99.1717,19.3525
44,-99.1719,19.3533
45,-99.1728,19.3539
46,-99.1753,19.3528
47,-99.1153,19.3622
48,-99.1936,19.3206
49,-99.1936,19.3206
50,-99.1928,19.3231
51,-99.1928,19.3231
52,-99.1936,19.3206
53,-99.0947,19.3431
54,-99.0947,19.3431
55,-99.0947,19.3431
56,-99.0947,19.3431
57,-98.2069,19.2719
58,-98.2069,19.2719
