INDEX;MUESTRA;ID-CAM;SITIO
30;39;Hembra;CDMX
31;49;Macho;Tlaxcala
32;50;Macho;Puebla
33;55;Macho;NA
34;57;Hembra;Tlaxcala
35;58;Macho;Puebla
36;21;Macho;Puebla
37;35;Hembra;CDMX
38;43;Macho;CDMX
39;46;Macho;Puebla
40;53;Hembra;Tlaxcala
41;54;Macho;Puebla
42;59;Hembra;NA
46;1;NA;Tlaxcala
47;2;NA;Tlaxcala
48;3;Macho;Tlaxcala
49;4;NA;Tlaxcala
50;7;NA;Tlaxcala
55;16;Hembra;Tlaxcala
56;18;Macho;Tlaxcala
57;19;Hembra;Tlaxcala
58;22;Macho;Puebla
59;25;Macho;CDMX
60;26;Macho;CDMX
87;27;Hembra;CDMX
88;28;Macho;CDMX
89;29;Macho;CDMX
90;30;Macho;CDMX
91;32;Hembra;CDMX
92;33;Hembra;CDMX
93;34;Hembra;CDMX
94;37;Hembra;CDMX
95;38;Hembra;CDMX
96;40;Macho;CDMX
97;41;Hembra;CDMX
98;42;Hembra;CDMX
99;44;Hembra;Puebla
100;45;Hembra;Tlaxcala
101;47;Hembra;Puebla
102;48;Macho;Tlaxcala
103;51;Macho;Tlaxcala
104;52;Hembra;Tlaxcala
106;56;Macho;Tlaxcala
107;5;Hembra;Tlaxcala
109;6;Hembra;Tlaxcala
111;14;Macho;Tlaxcala
112;15;Hembra;Tlaxcala
113;11;Hembra;Tlaxcala
114;12;NA;Tlaxcala
115;17;Hembra;Tlaxcala
116;20;Macho;Puebla
117;23;s/dato;CDMX
118;24;Hembra;CDMX
119;31;Hembra;CDMX
120;36;Hembra;CDMX
