q0	q1	q2	SAMPLEID	MUESTRA	ID	ZONA	Fecha	No..Campo	Sex	Morfo	LHC	Cola	LT	Regeneración	Ancho_cabeza	Alto_cabeza	Elevación	Peso.heces	lat	lon	lat2	lon2	sex	dist_km	dist_category	dist_cat	dist_cat2	estado	estado2
293	27.0623047626718	4.73439451503751	31	49	92	C	2024-05-13	1	M	G-AM	74.01	101.67	175.68	0	13.46	8.52	2268	0.029	19.3308	-98.1872	19.33139	-98.185658	M	0.174786206116538	High	Short	Medium	Tlaxcala	Tlaxcala
334	88.9647258885243	42.1162164913367	46	1	10	C	2024-01-11	10	HG	AM	63.5	36.45	99.95	24.44	11.03	5.44	2548	0.035	19.3658	-98.2786	19.35283	-98.287094	H	1.69717814975477	Medium	Long	Long	Tlaxcala	Tlaxcala
214	48.1390697729742	18.9466740862138	91	32	122	U	2024-06-12	8	H	AM	57.69	68.24	125.93	0	10.48	6.09	2266	0.022	19.3539	-99.1728	19.35336	-99.17613	H	0.354874735425745	High	Short	Long	Distrito Federal	Puebla and Mexico City
163	15.5400863193198	5.99429619886839	106	56	91	U	2024-05-02	13	M	G-AM	65.58	96.02	161.6	8.02	13.69	7.48	2291	0.048	19.29	-98.2369	19.2902	-98.239461	M	0.270003233064378	High	Short	Medium	Tlaxcala	Tlaxcala
327	102.588268975965	44.903245892959	47	2	4	C	2024-01-11	4	H	AM-G	46.73	58.76	105.49	0	10.09	5.78	2538	0.028	19.3969	-98.2989	19.38365	-98.291475	H	1.66836823414702	Medium	Long	Long	Tlaxcala	Tlaxcala
273	73.6012634636956	35.6038927849963	92	33	125	U	2024-06-12	11	H	G-AM	63.55	56.27	119.82	22.35	11.95	6.74	2266	0.015	19.3528	-99.1753	19.35336	-99.17613	H	0.107170442529467	High	Short	Medium	Distrito Federal	Puebla and Mexico City
444	149.970176657887	75.1370756341984	107	5	28	R	2024-01-16	7	HG	G	63.98	75.05	139.03	0	12.66	7.99	2300	0.043	19.2939	-98.2077	19.29439	-98.20827	H	0.0810057724318229	High	Short	Short	Tlaxcala	Tlaxcala
114	20.3746179885807	8.20865700679819	33	55	112	C	2024-06-01	3	M	G-AN	61.74	81.44	143.18	0	13.32	7.12	2388	0.076	19.3897	-98.255	19.38359	-98.272194	M	1.9293673122668	Medium	Long	Long	Tlaxcala	Tlaxcala
354	100.118310227479	45.3097595739821	48	3	1	C	2024-01-11	1	M	AM-G	72.05	73.22	145.27	39.25	15.28	10.43	2515	0.021	19.3965	-98.2973	19.38365	-98.291475	M	1.55573999301913	Medium	Long	Long	Tlaxcala	Tlaxcala
387	133.044964387442	62.6386851993167	93	34	127	U	2024-06-12	13	H	G-AM	60.83	62.33	123.16	0	10.24	6.9	2237	0.025	19.3622	-99.1153	19.3622	-99.1153	H	0	High	Short	Short	Distrito Federal	Puebla and Mexico City
287	73.0657358052607	27.1619207907726	34	57	77	U	2024-04-10	8	H	G-AM	67.52	75.49	143.01	0	10.87	6.93	2240	0.122	19.3314	-98.215	19.328694	-98.215053	H	0.301281985437791	High	Short	Medium	Tlaxcala	Tlaxcala
157	46.5371185753472	20.8184401773532	49	4	2	C	2024-01-11	2	HG	AM-G	68.6	45.11	113.71	21.55	11.85	9.37	2515	0.028	19.3964	-98.2972	19.38365	-98.291475	H	1.54138520558399	Medium	Long	Long	Tlaxcala	Tlaxcala
236	70.9501740225509	33.1136267909937	94	37	130	U	2024-06-14	3	H	G-AM	64.02	78.3	142.32	0	11.76	6.62	2320	0.019	19.3231	-99.1928	19.32338	-99.19287	H	0.0320251073897693	High	Short	Short	Distrito Federal	Puebla and Mexico City
439	126.273625369936	54.7557713465294	109	6	23	R	2024-01-16	2	HG	AM-G	62.5	53.93	116.43	23	12.87	8.45	2300	0.049	19.294	-98.2078	19.29439	-98.20827	H	0.065752315485463	High	Short	Short	Tlaxcala	Tlaxcala
339	77.5092260861927	28.1866443063632	35	58	149	R	2024-08-25	3	M	G-AN	72.42	97.66	170.08	0	13.67	8.23	2301	0.113	19.2719	-98.2069	19.26945	-98.197803	M	0.994078287982808	High	Medium	Long	Tlaxcala	Tlaxcala
233	89.5914573170824	44.8963799005396	50	7	12	C	2024-01-11	12	M	AN-G	60.4	77.32	137.72	0	13.94	6.76	2548	0.068	19.3664	-98.2786	19.35283	-98.287094	M	1.75434928497608	Medium	Long	Long	Tlaxcala	Tlaxcala
201	35.4627162043587	14.8503400423322	95	38	132	U	2024-06-14	5	H	G-AM	65.84	74.65	140.49	0	11.02	6.38	2320	0.031	19.3206	-99.1936	19.32067	-99.19369	H	0.0122518906744398	High	Short	Short	Distrito Federal	Puebla and Mexico City
93	7.67217880759189	5.06904312714914	36	21	38	R	2024-01-28	1	M	AM	67.37	71.36	138.73	0	13.65	7.59	2459	0.001	19.4297	-98.2075	19.42366	-98.210617	M	0.747769658282513	High	Medium	Long	Tlaxcala	Tlaxcala
240	68.1978425397598	29.8242835636961	96	40	139	U	2024-06-16	4	M	G-AM	71.76	73.5	145.26	33.34	14.1	8.4	2337	0.113	19.3431	-99.0946	19.34051	-99.09577	M	0.313416027786912	High	Short	Medium	Distrito Federal	Puebla and Mexico City
492	158.068039780301	77.1552032670406	111	14	26	R	2024-01-16	5	M	G	58.1	78.76	136.86	0	11.5	7.31	2300	0.018	19.2937	-98.2078	19.29439	-98.20827	M	0.0913147790197162	High	Short	Short	Tlaxcala	Tlaxcala
216	79.9685697272946	39.2091919517773	37	35	128	U	2024-06-14	1	H	G-AM	66.8	42.57	109.37	15.9	11.12	7.11	2320	0.025	19.3206	-99.1937	19.32066	-99.19369	H	0.00676127640979026	High	Short	Short	Distrito Federal	Puebla and Mexico City
298	78.7527580107533	37.4684637381013	97	41	143	U	2024-06-16	8	H	AN	60.15	71.19	131.34	0	10.88	6.3	2337	0.016	19.3431	-99.0948	19.34051	-99.09577	H	0.30579015542979	High	Short	Medium	Distrito Federal	Puebla and Mexico City
576	162.642648483386	68.0614048133172	112	15	29	R	2024-01-16	8	H	AM-G	53.37	55.71	109.08	0	9.79	6.17	2300	0.01	19.2939	-98.2076	19.29439	-98.20827	H	0.0890549584858602	High	Short	Short	Tlaxcala	Tlaxcala
46	11.0278064853795	8.15286543064635	98	42	144	U	2024-06-16	9	H	G	51.48	28.94	80.42	14.54	10.07	6.06	2337	0.022	19.3431	-99.0949	19.34052	-99.09577	H	0.3013916679453	High	Short	Medium	Distrito Federal	Puebla and Mexico City
