ID	ZONA	Fecha	No. Campo	Hora	Sex	Morfo	TC	TA	TS	Percha	Masa	LHC	Cola	LT	Regeneración	Ancho_cabeza	Alto_cabeza	N	W	Elevación	Peso Heces	N1	W2
1	C	11/1/2024	1	10:15	M	AM-G	21	13	12.6	ARBOL	13.89	72.05	73.22	145.27	39.25	15.28	10.43	19°23'47"	98°17'50"	2515	0.021	19°23'01"	98°17'28"
2	C	11/1/2024	2	10:20	HG	AM-G	22	13	12.6	ARBOL	9.04	68.6	45.11	113.71	21.55	11.85	9.37	19°23'49"	98°17'56"	2515	0.028	19°23'01"	98°17'28"
4	C	11/1/2024	4	10:46	H	AM-G	32.5	19.8	27	ARBOL	3.37	46.73	58.76	105.49	0	10.09	5.78	19°23'50"	98°17'58"	2538	0.028	19°23'01"	98°17'28"
5	C	11/1/2024	5	11:03	M	AM-G	20.8	16.1	16.3	TRONCO	3.24	49	23	72	1	11.67	6.72	19°23'42"	98°17'50"	2541	0.015	19°23'01"	98°17'28"
7	C	11/1/2024	7	12:13	H	AM-G	34.1	20.8	21.1	ROCA	4.25	48.84	62.49	111.33	0	9.97	5.32	19°23'42"	98°17'51"	2514	0.012	19°23'01"	98°17'28"
8	C	11/1/2024	8	12:20	HG	AM-G	34.8	24.7	25	ROCA	11.15	68.2	80.02	148.22	0	12.65	8.44	19°21'57"	98°16'43"	2514	0.031	19°22'33"	98°17'04"
10	C	11/1/2024	10	13:22	HG	AM	31.8	25.1	26.1	TOCON	9.5	63.5	36.45	99.95	24.44	11.03	5.44	19°21'58"	98°16'43"	2548	0.035	19°22'33"	98°17'04"
11	C	11/1/2024	11	13:44	HG	AM-G	34.11	29.7	25.5	TOCON	8.22	59.63	41.58	101.21	1	11.7	6.6	19°21'59"	98°16'43"	2548	0.07	19°22'33"	98°17'04"
12	C	11/1/2024	12	13:50	M	AN-G	NA	NA	NA	TOCON	6.79	60.4	77.32	137.72	0	13.94	6.76	19°21'56"	98°16'43"	2548	0.068	19°22'33"	98°17'04"
13	C	11/1/2024	13	13:55	H	AM-G	NA	NA	NA	TOCON	5	59.98	46.15	106.13	27.62	11.71	6.28	19°21'56"	98°16'43"	2548	0.027	19°17'13"	98°12'45"
23	R	16/1/2024	2	08:55	HG	AM-G	NA	NA	NA	BARDA	10.04	62.5	53.93	116.43	23	12.87	8.45	19°16'98"	98°12'28"	2300	0.049	19°17'13"	98°12'45"
25	R	16/1/2024	4	09:00	H	G	NA	NA	NA	LAMINA	6.39	54.58	62.37	116.95	0	10.76	7.3	19°16'98"	98°12'28"	2300	0.021	19°17'13"	98°12'45"
