INDEX;MUESTRA;ID;ID-CAM;SITIO
48;3;1;Macho;Tlaxcala
49;4;2;NA;Tlaxcala
46;1;10;NA;Tlaxcala
113;11;11;Hembra;Tlaxcala
114;12;13;NA;Tlaxcala
109;6;23;Hembra;Tlaxcala
111;14;26;Macho;Tlaxcala
112;15;29;Hembra;Tlaxcala
55;16;30;Hembra;Tlaxcala
115;17;32;Hembra;Tlaxcala
56;18;35;Macho;Tlaxcala
57;19;36;Hembra;Tlaxcala
36;21;38;Macho;Puebla
116;20;39;Macho;Puebla
58;22;45;Macho;Puebla
99;44;48;Hembra;Puebla
101;47;55;Hembra;Puebla
39;46;58;Macho;Puebla
32;50;63;Macho;Puebla
41;54;63;Macho;Puebla
34;57;77;Hembra;Tlaxcala
107;5;28;Hembra;Tlaxcala
40;53;86;Hembra;Tlaxcala
106;56;91;Macho;Tlaxcala
31;49;92;Macho;Tlaxcala
100;45;98;Hembra;Tlaxcala
102;48;99;Macho;Tlaxcala
104;52;106;Hembra;Tlaxcala
103;51;108;Macho;Tlaxcala
42;59;110;Hembra;NA
118;24;114;Hembra;CDMX
59;25;116;Macho;CDMX
60;26;116;Macho;CDMX
87;27;117;Hembra;CDMX
88;28;118;Macho;CDMX
89;29;118;Macho;CDMX
90;30;120;Macho;CDMX
119;31;121;Hembra;CDMX
33;55;112;Macho;NA
91;32;122;Hembra;CDMX
92;33;125;Hembra;CDMX
93;34;127;Hembra;CDMX
37;35;128;Hembra;CDMX
120;36;128;Hembra;CDMX
94;37;130;Hembra;CDMX
95;38;132;Hembra;CDMX
30;39;133;Hembra;CDMX
96;40;139;Macho;CDMX
97;41;143;Hembra;CDMX
98;42;144;Hembra;CDMX
38;43;146;Macho;CDMX
35;58;149;Macho;Puebla
47;2;4;NA;Tlaxcala
50;7;12;NA;Tlaxcala
117;23;24;s/dato;CDMX
