q0	q1	q2	SAMPLEID	MUESTRA	ID	ZONA	Fecha	No..Campo	Sex	Morfo	TC	TA	TS	Masa	LHC	Cola	LT	Regeneración	Ancho_cabeza	Alto_cabeza	Elevación	Peso.heces	lat	lon	lat2	lon2	sex	SITIO	dist_km	dist_category	dist_cat	dist_cat2	estado	estado2
293	27.0623047626718	4.73439451503751	31	49	92	C	2024-05-13	1	M	G-AM	33.5	26.7	20.7	10.67	74.01	101.67	175.68	0	13.46	8.52	2268	0.029	19.3308	-98.1872	19.33139	-98.185658	M	Tlaxcala	0.174786206116538	High	Short	Medium	Tlaxcala	Tlaxcala
334	88.9647258885243	42.1162164913367	46	1	10	C	2024-01-11	10	HG	AM	31.8	25.1	26.1	9.5	63.5	36.45	99.95	24.44	11.03	5.44	2548	0.035	19.3658	-98.2786	19.35283	-98.287094	H	Tlaxcala	1.69717814975477	Medium	Long	Long	Tlaxcala	Tlaxcala
214	48.1390697729742	18.9466740862138	91	32	122	U	2024-06-12	8	H	AM	32.8	27.8	27	3.4	57.69	68.24	125.93	0	10.48	6.09	2266	0.022	19.3539	-99.1728	19.35336	-99.17613	H	CDMX	0.354874735425745	High	Short	Long	Distrito Federal	Puebla y CDMX
163	15.5400863193198	5.99429619886839	106	56	91	U	2024-05-02	13	M	G-AM	33.6	29.6	30.2	7.74	65.58	96.02	161.6	8.02	13.69	7.48	2291	0.048	19.29	-98.2369	19.2902	-98.239461	M	Tlaxcala	0.270003233064378	High	Short	Medium	Tlaxcala	Tlaxcala
327	102.588268975965	44.903245892959	47	2	4	C	2024-01-11	4	H	AM-G	32.5	19.8	27	3.37	46.73	58.76	105.49	0	10.09	5.78	2538	0.028	19.3969	-98.2989	19.38365	-98.291475	H	Tlaxcala	1.66836823414702	Medium	Long	Long	Tlaxcala	Tlaxcala
444	149.970176657887	75.1370756341984	107	5	28	R	2024-01-16	7	HG	G	24.8	13.4	13.2	7.24	63.98	75.05	139.03	0	12.66	7.99	2300	0.043	19.2939	-98.2077	19.29439	-98.20827	H	Tlaxcala	0.0810057724318229	High	Short	Short	Tlaxcala	Tlaxcala
354	100.118310227479	45.3097595739821	48	3	1	C	2024-01-11	1	M	AM-G	21	13	12.6	13.89	72.05	73.22	145.27	39.25	15.28	10.43	2515	0.021	19.3965	-98.2973	19.38365	-98.291475	M	Tlaxcala	1.55573999301913	Medium	Long	Long	Tlaxcala	Tlaxcala
387	133.044964387442	62.6386851993167	93	34	127	U	2024-06-12	13	H	G-AM	34.7	30.9	33.7	5.79	60.83	62.33	123.16	0	10.24	6.9	2237	0.025	19.3622	-99.1153	19.3622	-99.1153	H	CDMX	0	High	Short	Short	Distrito Federal	Puebla y CDMX
287	73.0657358052607	27.1619207907726	34	57	77	U	2024-04-10	8	H	G-AM	32.8	27.5	27.8	8.8	67.52	75.49	143.01	0	10.87	6.93	2240	0.122	19.3314	-98.215	19.328694	-98.215053	H	Tlaxcala	0.301281985437791	High	Short	Medium	Tlaxcala	Tlaxcala
157	46.5371185753472	20.8184401773532	49	4	2	C	2024-01-11	2	HG	AM-G	22	13	12.6	9.04	68.6	45.11	113.71	21.55	11.85	9.37	2515	0.028	19.3964	-98.2972	19.38365	-98.291475	H	Tlaxcala	1.54138520558399	Medium	Long	Long	Tlaxcala	Tlaxcala
236	70.9501740225509	33.1136267909937	94	37	130	U	2024-06-14	3	H	G-AM	31.3	22.8	23	5.51	64.02	78.3	142.32	0	11.76	6.62	2320	0.019	19.3231	-99.1928	19.32338	-99.19287	H	CDMX	0.0320251073897693	High	Short	Short	Distrito Federal	Puebla y CDMX
93	7.67217880759189	5.06904312714914	36	21	38	R	2024-01-28	1	M	AM	30.7	19.8	26.3	11.51	67.37	71.36	138.73	0	13.65	7.59	2459	0.001	19.4297	-98.2075	19.42366	-98.210617	M	Puebla	0.747769658282513	High	Medium	Long	Tlaxcala	Tlaxcala
240	68.1978425397598	29.8242835636961	96	40	139	U	2024-06-16	4	M	G-AM	29.6	27.5	26.1	8.91	71.76	73.5	145.26	33.34	14.1	8.4	2337	0.113	19.3431	-99.0946	19.34051	-99.09577	M	CDMX	0.313416027786912	High	Short	Medium	Distrito Federal	Puebla y CDMX
239	58.4846607449397	26.0939253902303	113	11	11	C	2024-01-11	11	HG	AM-G	34.11	29.7	25.5	8.22	59.63	41.58	101.21	1	11.7	6.6	2548	0.07	19.3661	-98.2786	19.35283	-98.287094	H	Tlaxcala	1.7256773337577	Medium	Long	Long	Tlaxcala	Tlaxcala
401	137.27564652662	69.7627877864026	39	46	58	C	2024-03-05	9	M	AM	27.9	24.6	25.2	11.83	74.75	100.5	175.25	0	14.74	9.4	2350	0.043	19.0278	-98.1133	19.03309	-98.123086	M	Puebla	1.18631216068034	Medium	Medium	Long	Puebla	Puebla y CDMX
182	83.0684661770652	49.8676304170631	99	44	48	U	2024-02-14	5	H	AM	36.9	27.8	30	5.69	63.08	40.13	103.21	22.34	11.01	8.15	2129	0.012	19.0842	-98.2375	19.08431	-98.237667	H	Puebla	0.0214149361914839	High	Short	Short	Puebla	Puebla y CDMX
413	254.30253350781	168.605464858768	40	53	86	U	2024-05-02	8	H	G-AN	33.1	29.3	31.5	8	62.38	68.8	131.18	0	12.23	6.9	2298	0.015	19.2958	-98.2411	19.2954	-98.241197	H	Tlaxcala	0.0456792058436414	High	Short	Short	Tlaxcala	Tlaxcala
187	82.8547715888027	47.4342538774839	100	45	98	C	2024-05-13	7	H	AM	38.1	27.2	25.3	4.43	53.18	43.08	96.26	24.58	11.23	5.51	2277	0.011	19.33	-98.1867	19.33139	-98.185658	H	Tlaxcala	0.189534052407199	High	Short	Medium	Tlaxcala	Tlaxcala
353	119.272264210622	54.3792848911618	115	17	32	R	2024-01-16	11	H	G	20.2	22.7	22.9	6.18	64.54	58.9	123.44	31.4	11.46	6.62	2300	0.022	19.294	-98.2076	19.29439	-98.20827	H	Tlaxcala	0.0827060097479315	High	Short	Short	Tlaxcala	Tlaxcala
383	207.497010460112	129.202185964719	41	54	63	U	2024-03-12	4	M	G-AM	30.5	17.9	19.6	12.84	75.43	48.5	123.93	26.29	13.24	8.29	2134	0.105	19.0944	-98.2342	19.09223	-98.234392	M	Puebla	0.24240620003351	High	Short	Medium	Puebla	Puebla y CDMX
222	102.481642521829	62.6678192486288	56	18	35	R	2024-01-16	14	M	AM	32.1	22.9	21.9	4.73	49.84	76.41	126.25	0	11.48	6.45	2304	0.019	19.3018	-98.2441	19.3022	-98.244275	M	Tlaxcala	0.0481743202878591	High	Short	Short	Tlaxcala	Tlaxcala
243	45.4168951627783	18.0452890054803	101	47	55	C	2024-03-05	6	HG	G-AN	26.3	19.9	20.9	9.97	64.02	52.13	116.15	36.75	11.79	6.86	2287	0.029	19.0306	-98.1133	19.03309	-98.123086	H	Puebla	1.06647583450997	Medium	Medium	Long	Puebla	Puebla y CDMX
125	14.3655172390912	6.55098484684914	116	20	39	R	2024-01-28	2	M	AM	27.2	23.5	30	10.63	68.89	66.14	135.03	19.64	13.22	7.93	2473	0.026	19.4294	-98.2076	19.42366	-98.210617	M	Puebla	0.713166054313031	High	Medium	Long	Tlaxcala	Tlaxcala
209	63.2083324611321	29.4172250924046	57	19	36	R	2024-01-16	15	HG	G	36.3	19.1	23.5	11.62	72.45	86.76	159.21	0	14.1	8.2	2304	0.012	19.3019	-98.2442	19.3022	-98.244275	H	Tlaxcala	0.034312849552686	High	Short	Short	Tlaxcala	Tlaxcala
479	111.179850811918	44.4131923228935	87	27	117	U	2024-06-12	3	M	AN	30.4	26.3	26.7	8.86	73.63	99.6	173.23	0	13.95	8.44	2266	0.035	19.3539	-99.1714	19.35281	-99.169	M	CDMX	0.279753846586134	High	Short	Medium	Distrito Federal	Puebla y CDMX
212	60.1394974061957	25.6137273570054	58	22	45	U	2024-02-14	2	M	AM-G	31.8	18.2	29.6	7.47	64.02	55.99	120.01	31.82	12.95	7.28	2129	0.02	19.0843	-98.2374	19.08431	-98.237667	M	Puebla	0.0281107720380677	High	Short	Short	Puebla	Puebla y CDMX
411	96.2250922284832	33.4274159489416	103	51	108	U	2024-05-15	5	M	G-AM	35.1	34.9	32	9.52	70.17	57.41	127.58	44.15	13.57	7.45	2233	0.019	19.3228	-98.2468	19.32151	-98.246692	M	Tlaxcala	0.144049615294102	High	Short	Medium	Tlaxcala	Tlaxcala
190	51.5493525061682	17.6247203915132	118	24	114	U	2024-06-09	1	H	G	30.9	26.7	25.6	4.58	54.3	30.48	84.78	14.85	11.62	6.38	2236	0.013	19.3597	-99.1206	19.3597	-99.1206	H	CDMX	0	High	Short	Short	Distrito Federal	Puebla y CDMX
354	119.251971140685	58.5225624766931	59	25	116	U	2024-06-12	2	M	AN	30.3	28	28	12.43	73.69	34.35	108.04	12.43	14.95	9.12	2266	0.038	19.3538	-99.1714	19.35281	-99.169	M	CDMX	0.275108545111405	High	Short	Medium	Distrito Federal	Puebla y CDMX
266	75.823769262841	33.5088676604249	104	52	106	U	2024-05-15	3	H	AM	31.1	27.5	27.5	9.3	65.21	68.99	134.2	7.64	13.16	6.66	2233	0.014	19.3225	-98.2467	19.32151	-98.246692	H	Tlaxcala	0.110209500114721	High	Short	Medium	Tlaxcala	Tlaxcala
174	53.4228135134935	20.6139961283332	119	31	121	U	2024-06-12	7	H	G-AM	34.9	26.3	29.2	6.53	62.1	71.17	133.27	0	11.82	6.74	2266	0.02	19.3533	-99.172	19.3567	-99.17097	H	CDMX	0.393642647093786	High	Short	Long	Distrito Federal	Puebla y CDMX
318	85.272204772342	36.2556643943441	60	26	116	U	2024-06-12	2	M	AN	30.3	28	28	12.43	73.69	34.35	108.04	12.43	14.95	9.12	2266	0.03	19.3537	-99.1714	19.35281	-99.169	M	CDMX	0.270841372554944	High	Short	Medium	Distrito Federal	Puebla y CDMX
